, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,4328,145.095,41,217,149.627,85.50299999999999,148.751,86.991,106,50,87,71,95.87,57.48,32.38,0
1,2,359,84.515,58,122,245.511,121.979,245.331,121.93700000000001,231,113,28,17,27.891,16.387999999999998,172.679,0
2,3,340,97.829,58,143,168.247,168.515,168.15900000000002,168.585,154,160,27,17,26.674,16.229,13.523,0
3,4,315,89.171,60,134,131.833,242.21400000000003,131.847,241.78099999999998,121,231,21,23,25.986,15.434000000000001,126.646,0
4,5,763,149.52700000000002,87,206,322.10400000000004,188.382,321.954,188.636,308,168,27,40,40.376999999999995,24.06,71.556,0
5,6,232,119.681,65,162,313.931,255.58599999999998,314.279,255.495,302,248,23,14,22.35,13.217,172.447,0
6,7,645,110.051,63,167,161.892,311.981,161.805,311.366,144,298,35,27,36.838,22.293000000000003,28.104,0
7,8,415,78.501,52,125,219.271,423.657,219.321,423.773,205,412,27,23,29.538,17.887999999999998,146.15200000000002,0
8,9,364,69.385,41,121,488.00800000000004,69.09899999999999,488.11,69.406,475,58,25,22,27.784000000000002,16.680999999999997,37.616,0
9,10,303,66.158,45,101,362.99199999999996,31.738000000000003,363.22,31.639,350,22,25,19,27.256,14.154000000000002,34.281,0
10,11,211,94.905,60,121,540.173,186.81799999999998,540.023,186.667,533,175,14,23,22.869,11.748,71.582,0
11,12,213,80.455,51,108,739.1669999999999,180.12900000000002,739.181,180.488,728,172,21,16,22.944000000000003,11.82,146.321,0
12,13,834,98.396,60,153,984.1289999999999,188.97799999999998,984.18,188.995,966,171,36,36,45.513999999999996,23.331,45.005,0
13,14,1731,150.099,76,238,863.067,165.49900000000002,863.03,165.938,839,141,47,49,53.211000000000006,41.42,129.753,0
14,15,3189,137.02200000000002,55,235,883.19,335.221,883.164,335.716,853,300,60,70,72.55199999999999,55.965,117.553,0
15,16,730,103.648,55,164,657.677,349.79699999999997,657.309,349.849,644,332,27,35,34.501,26.94,91.51100000000001,0
16,17,786,87.346,30,140,949.179,381.352,948.826,380.397,934,363,29,36,35.942,27.844,78.192,0
17,18,301,72.917,40,112,496.184,276.61,495.95300000000003,276.48400000000004,484,267,23,18,22.354,17.145,172.05900000000003,0
18,19,373,88.244,51,126,410.13,517.886,410.236,518.241,400,503,19,30,30.761,15.439,111.58200000000001,0
19,20,1847,96.654,40,152,172.48,530.0319999999999,172.915,530.121,147,504,50,52,59.672,39.41,46.577,0
20,21,311,68.775,30,97,85.78299999999999,552.947,85.625,553.247,78,537,15,31,31.311,12.645999999999999,105.194,0
21,22,739,71.055,11,126,373.426,598.15,373.9,596.9590000000001,361,574,25,47,49.05,19.183,70.02199999999999,0
22,23,2125,111.99600000000001,47,182,543.776,658.5210000000001,543.361,658.385,521,625,44,67,70.347,38.461,109.976,0
23,24,562,112.54299999999999,58,159,246.861,751.7239999999999,246.671,751.678,236,733,21,37,36.133,19.803,95.758,0
24,25,807,98.035,53,151,437.45300000000003,730.059,437.48800000000006,730.075,424,708,26,43,43.255,23.754,76.616,0
25,26,1673,86.895,24,142,661.927,750.993,660.72,749.373,633,729,57,44,62.18899999999999,34.253,149.014,0
26,27,410,80.176,47,111,377.793,783.51,377.534,783.303,368,768,19,31,30.764,16.969,107.735,0
27,28,661,85.02,44,139,588.144,779.685,588.54,779.666,573,762,30,34,39.585,21.261,51.236000000000004,0
28,29,539,73.048,41,107,270.767,852.0160000000001,270.949,852.2460000000001,254,839,32,26,35.185,19.505,34.243,0
29,30,665,89.24700000000001,12,130,14.607999999999999,893.518,14.925,893.324,3,873,23,40,39.461999999999996,21.456,82.70299999999999,0
30,31,1061,122.446,78,181,833.6519999999999,599.499,833.534,599.453,813,582,40,35,39.123000000000005,34.53,5.193,0
31,32,3470,145.305,56,237,731.133,828.998,731.68,829.186,699,793,63,71,71.027,62.20399999999999,75.35300000000001,0
32,33,2098,133.047,61,208,610.336,840.58,608.922,840.831,585,813,50,55,55.108999999999995,48.472,102.24,0
33,34,266,71.99600000000001,44,101,584.18,912.977,584.156,913.0,574,903,19,19,19.624000000000002,17.259,135.62,0
34,35,976,107.038,53,159,775.05,915.0319999999999,775.257,915.0319999999999,760,891,30,47,48.949,25.386999999999997,68.777,0
35,36,1161,109.18299999999999,68,148,963.932,879.055,963.368,878.461,939,856,49,46,61.68600000000001,23.964000000000002,138.675,0
36,37,621,83.301,50,128,317.308,358.99,318.003,358.375,299,342,36,33,45.273999999999994,17.464000000000002,41.309,0
37,38,344,110.57,78,156,235.465,58.331,235.204,58.505,224,47,22,22,20.988000000000003,20.869,153.625,2
38,39,458,98.609,47,145,289.199,96.541,289.262,95.579,276,84,25,25,24.22,24.076999999999998,172.78599999999997,2
39,40,327,135.529,97,187,390.05400000000003,196.15400000000002,390.116,196.292,379,186,21,20,20.474,20.335,53.79,2
