, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,1362,56.973,29,89,102.676,134.997,103.25399999999999,135.031,72,117,60,35,63.123999999999995,27.471999999999998,157.879,0
1,2,1149,75.25399999999999,45,104,247.24900000000002,127.015,247.456,127.053,220,112,53,30,53.668,27.259,164.612,0
2,3,837,53.272,16,87,377.671,195.49,377.421,196.77700000000002,363,176,29,38,38.056,28.004,103.314,0
3,4,4989,99.116,40,153,465.154,350.999,464.54,350.102,411,321,108,60,108.102,58.761,3.096,0
4,5,984,82.65,29,124,749.5880000000001,36.551,749.342,37.405,734,13,30,46,47.93,26.139,69.945,0
5,6,171,59.468,28,82,745.716,156.65200000000002,745.6160000000001,156.399,737,149,17,15,20.058,10.855,143.01,0
6,7,1075,123.169,75,159,626.2130000000001,776.0110000000001,626.148,776.1419999999999,601,762,50,28,50.183,27.275,177.75400000000002,0
7,8,528,62.648,35,105,613.686,816.508,613.747,816.669,596,806,35,20,34.909,19.258,2.089,0
8,9,518,70.357,30,124,957.4,837.73,958.1080000000001,837.7310000000001,940,827,34,21,34.815,18.944000000000003,162.047,0
9,10,582,106.426,60,154,253.467,960.3660000000001,253.63099999999997,960.493,240,945,26,31,32.016999999999996,23.145,115.18700000000001,0
10,11,625,100.704,67,133,220.791,1011.2230000000001,220.365,1011.2230000000001,203,999,34,24,33.246,23.936,6.412999999999999,0
11,12,309,114.12299999999999,73,157,682.2510000000001,387.49,682.398,387.649,672,377,20,20,20.603,19.096,148.185,2
12,13,741,30.325,0,112,156.685,106.454,155.814,107.229,136,90,41,32,47.174,20.0,34.681999999999995,2
13,14,514,38.905,4,107,683.14,754.86,682.447,755.41,667,739,31,31,39.599000000000004,16.527,135.0,2
14,15,265,92.44200000000001,70,133,869.692,41.206,869.913,41.397,860,32,19,19,18.497,18.241,33.327,1
15,16,150,68.64699999999999,36,113,886.127,71.513,885.796,71.628,879,64,14,14,14.084000000000001,13.561,3.8989999999999996,1
16,17,87,62.161,41,89,905.638,72.109,905.757,71.952,900,66,11,11,10.849,10.211,164.78400000000002,1
17,18,353,119.62899999999999,72,172,302.231,294.52,302.13,294.219,291,283,22,22,21.281999999999996,21.119,115.727,1
18,19,398,67.09,24,130,786.183,459.505,786.0360000000001,459.093,774,448,23,23,22.750999999999998,22.274,102.43700000000001,1
19,20,273,77.10300000000001,52,128,448.68300000000005,783.515,448.88699999999994,783.966,439,774,19,19,18.651,18.637,85.426,1
20,21,221,89.204,54,145,72.604,631.02,72.278,630.558,64,622,17,17,17.092,16.463,6.313,1
21,22,899,67.857,17,124,246.69799999999998,701.5360000000001,246.851,701.1289999999999,229,684,34,34,33.843,33.821999999999996,107.801,1
22,23,184,78.185,51,117,1016.212,683.9839999999999,1016.107,684.1389999999999,1008,676,16,16,15.318,15.294,94.399,1
