, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,1501,101.571,53,144,131.09,353.496,131.373,353.62199999999996,102,336,57,35,56.448,33.856,7.415,0
1,2,1492,100.213,49,148,285.618,376.50699999999995,285.265,376.601,258,357,55,38,56.135,33.841,160.113,0
2,3,3501,115.639,20,183,73.671,474.501,73.378,472.29,43,437,61,74,73.487,60.658,95.46700000000001,0
3,4,261,58.31399999999999,29,84,884.7489999999999,256.293,885.321,255.85299999999998,872,248,24,16,23.516,14.132,13.624,0
4,5,407,72.929,47,107,711.3969999999999,260.88599999999997,711.382,261.14799999999997,698,250,26,22,29.305,17.683,146.287,0
5,6,9436,137.355,84,205,495.546,330.491,495.233,330.615,431,282,128,96,130.435,92.109,163.90400000000002,2
6,7,5721,111.304,56,164,616.61,285.998,616.013,287.212,573,243,86,86,85.42299999999999,85.272,35.078,2
7,8,1024,120.68700000000001,83,164,714.191,525.016,714.242,525.07,695,506,37,37,36.111999999999995,36.104,85.333,2
8,9,285,88.947,53,147,676.675,471.486,677.128,471.74199999999996,666,461,20,20,19.055999999999997,19.043,94.574,1
9,10,285,116.786,76,168,803.675,559.486,803.548,559.484,793,549,20,20,19.055999999999997,19.043,94.574,1
10,11,325,101.74799999999999,66,152,237.743,806.4910000000001,237.99099999999999,806.632,227,796,21,21,20.354,20.331,92.175,1
11,12,273,122.71799999999999,85,175,139.683,714.485,139.937,714.554,130,705,19,19,18.651,18.637,94.574,1
