numGT,radiusGT,denGT,numPred,radiusPred,denPred,areaIMG
3,40.191,1.249479,3,42.422,1.24947938359,240100
3,17.127,1.249479,6,39.155,2.49895876718,240100
26,31.289,3.282414,34,38.334,4.29238732483,792100
38,13.823,45.184304,46,13.983,54.6967895363,84100
52,16.554,21.657643,46,18.104,19.1586838817,240100
13,26.542,5.414411,13,22.924,5.41441066222,240100
34,30.536,4.292387,39,38.473,4.92362075496,792100
6,12.220,28.537455,7,11.002,33.2936979786,21025
23,14.812,27.348395,26,11.784,30.9155766944,84100
22,12.375,26.159334,34,11.491,40.4280618312,84100
5,23.103,5.945303,6,16.864,7.13436385256,84100
8,20.556,9.512485,9,22.038,10.7015457788,84100
